ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107,-0.5228908557285186,0.5969775019778844,2,-0.370825231921315,2003-02-24,Shipped,1,2,2003,Motorcycles,-0.14224584412333405,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Desconocido,NYC,NY,10022,USA,Desconocido,Yu,Kwai,Small
10121,-0.11220131389876072,-0.11445035408552556,5,-0.42789706610071104,2003-05-07,Shipped,2,5,2003,Motorcycles,-0.14224584412333405,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Desconocido,Reims,Desconocido,51100,France,EMEA,Henriot,Paul,Small
10134,0.6065053843033164,0.5493837220600526,2,0.17944282181178928,2003-07-01,Shipped,3,7,2003,Motorcycles,-0.14224584412333405,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Desconocido,Paris,Desconocido,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,1.0171949261330746,-0.019758562790674557,6,0.10470098302537562,2003-08-25,Shipped,3,8,2003,Motorcycles,-0.14224584412333405,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Desconocido,Pasadena,CA,90003,USA,Desconocido,Young,Julie,Medium
10159,1.4278844679628335,0.8101579745265014,14,0.896739662178961,2003-10-10,Shipped,4,10,2003,Motorcycles,-0.14224584412333405,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Brown,Julie,Medium
10168,0.09314345701611873,0.6445712818957146,1,-0.040253873452721384,2003-10-28,Shipped,4,10,2003,Motorcycles,-0.14224584412333405,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Desconocido,Burlingame,CA,94217,USA,Desconocido,Hirano,Juri,Medium
10180,-0.6255632411859583,0.12252700842200742,9,-0.573498121272181,2003-11-11,Shipped,4,11,2003,Motorcycles,-0.14224584412333405,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Desconocido,Lille,Desconocido,59000,France,EMEA,Rance,Martine,Small
10188,1.3252120825053932,0.8101579745265014,1,1.0634752157925056,2003-11-18,Shipped,4,11,2003,Motorcycles,-0.14224584412333405,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Desconocido,Bergen,Desconocido,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,-1.3442699393880353,0.7392630731905655,2,-0.7522779496916157,2003-12-01,Shipped,4,12,2003,Motorcycles,-0.14224584412333405,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,Desconocido,San Francisco,CA,Desconocido,USA,Desconocido,Murphy,Julie,Small
10211,0.6065053843033164,0.8101579745265014,14,0.6269489925752556,2004-01-15,Shipped,1,1,2004,Motorcycles,-0.14224584412333405,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Desconocido,Paris,Desconocido,75016,France,EMEA,Perrier,Dominique,Medium
10223,0.19581584247355846,0.8101579745265014,1,0.22360154260597107,2004-02-20,Shipped,1,2,2004,Motorcycles,-0.14224584412333405,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,-1.2415975539305957,0.8101579745265014,7,-0.6629070413258211,2004-04-05,Shipped,2,4,2004,Motorcycles,-0.14224584412333405,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,Desconocido,Frick,Michael,Small
10251,-0.728235626643398,0.8101579745265014,2,-0.19833905296086426,2004-05-18,Shipped,2,5,2004,Motorcycles,-0.14224584412333405,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Desconocido,Newark,NJ,94019,USA,Desconocido,Brown,William,Medium
10263,-0.11220131389876072,0.8101579745265014,2,0.06672187662664165,2004-06-28,Shipped,2,6,2004,Motorcycles,-0.14224584412333405,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Desconocido,Bridgewater,CT,97562,USA,Desconocido,King,Julie,Medium
10275,1.0171949261330746,0.45469193076520154,1,0.3385543168917596,2004-07-23,Shipped,3,7,2004,Motorcycles,-0.14224584412333405,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Desconocido,Nantes,Desconocido,44000,France,EMEA,Labrune,Janine,Medium
10285,0.09314345701611873,0.8101579745265014,6,0.2963776341066624,2004-08-27,Shipped,3,8,2004,Motorcycles,-0.14224584412333405,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Desconocido,Cambridge,MA,51247,USA,Desconocido,Hernandez,Marta,Medium
10299,-1.2415975539305957,0.8101579745265014,9,-0.5194020592269724,2004-09-30,Shipped,3,9,2004,Motorcycles,-0.14224584412333405,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Desconocido,Helsinki,Desconocido,21240,Finland,EMEA,Karttunen,Matti,Small
10309,0.6065053843033164,0.8101579745265014,5,0.4564068399360446,2004-10-15,Shipped,4,10,2004,Motorcycles,-0.14224584412333405,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Desconocido,Stavern,Desconocido,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,1.119867311590515,0.5493837220600526,1,0.4366733437031305,2004-11-02,Shipped,4,11,2004,Motorcycles,-0.14224584412333405,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Desconocido,Allentown,PA,70267,USA,Desconocido,Yu,Kyung,Medium
10329,0.7091777697607561,0.8101579745265014,1,0.457362562373302,2004-11-15,Shipped,4,11,2004,Motorcycles,-0.14224584412333405,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,Desconocido,NYC,NY,10022,USA,Desconocido,Yu,Kwai,Medium
10341,0.6065053843033164,0.8101579745265014,9,2.2720351098743885,2004-11-24,Shipped,4,11,2004,Motorcycles,-0.14224584412333405,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Desconocido,Salzburg,Desconocido,5020,Austria,EMEA,Pipps,Georg,Large
10361,-1.5496147103029148,-0.5507266699989756,13,-1.1419194710720524,2004-12-17,Shipped,4,12,2004,Motorcycles,-0.14224584412333405,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375,-1.4469423248454751,-2.416799457610595,12,-1.5317510508917163,2005-02-03,Shipped,1,2,2005,Motorcycles,-0.14224584412333405,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Desconocido,Nantes,Desconocido,44000,France,EMEA,Labrune,Janine,Small
10388,0.7091777697607561,-0.36183885595008414,4,-0.188303967369663,2005-03-03,Shipped,1,3,2005,Motorcycles,-0.14224584412333405,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,Desconocido,New Bedford,MA,50553,USA,Desconocido,Benitez,Violeta,Medium
10403,-1.1389251684731565,0.8101579745265014,7,-0.6078226753966304,2005-04-08,Shipped,2,4,2005,Motorcycles,-0.14224584412333405,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Desconocido,Liverpool,Desconocido,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417,3.1733150207393064,0.8101579745265014,2,2.151565210609887,2005-05-13,Disputed,2,5,2005,Motorcycles,-0.14224584412333405,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Desconocido,Madrid,Desconocido,28034,Spain,EMEA,Freyre,Diego,Large
10103,-0.9335803975582769,0.8101579745265014,11,1.0049915189217071,2003-01-29,Shipped,1,1,2003,Classic Cars,2.819368171201151,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Desconocido,Stavern,Desconocido,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10112,-0.6255632411859583,0.8101579745265014,1,1.9848730989253085,2003-03-24,Shipped,1,3,2003,Classic Cars,2.819368171201151,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsvgen  8,Desconocido,Lule,Desconocido,S-958 22,Sweden,EMEA,Berglund,Christina,Large
